Country,Latitude,Longitude
DRC,-17.9819241,20.7680607
Mali,16.3700359,-2.2900239
Somalia,8.3676771,49.083416
Sudan,10.9,6.5
Afghanistan,33.7680065,66.2385139
Burkina Faso,12.0753083,-1.6880314
DRC,-17.9819241,20.7680607
Iraq,33.0955793,44.1749775
Libya,26.8234472,18.1236723
Sudan,10.9,6.5
Syria,35.8323648,38.5414697
Afghanistan,33.7680065,66.2385139
DRC,-17.9819241,20.7680607
Somalia,8.3676771,49.083416
Sudan,10.9,6.5
Afghanistan,33.7680065,66.2385139
CAR,40.5250362,-81.0927234
DRC,-17.9819241,20.7680607
Israel,39.3181528,-79.8109014
Pakistan,30.3308401,71.247499
Somalia,8.3676771,49.083416
Syria,35.8323648,38.5414697
Yemen,16.3471243,47.8915271
Afghanistan,33.7680065,66.2385139
DRC,-17.9819241,20.7680607
Israel,39.3181528,-79.8109014
Mali,16.3700359,-2.2900239
Yemen,16.3471243,47.8915271
Afghanistan,33.7680065,66.2385139
DRC,-17.9819241,20.7680607
Israel,39.3181528,-79.8109014
Mali,16.3700359,-2.2900239
Nigeria,9.6000359,7.9999721
Pakistan,30.3308401,71.247499
Ukraine,49.4871968,31.2718321
Yemen,16.3471243,47.8915271
Afghanistan,33.7680065,66.2385139
DRC,-17.9819241,20.7680607
Israel,39.3181528,-79.8109014
Libya,26.8234472,18.1236723
Mali,16.3700359,-2.2900239
Nigeria,9.6000359,7.9999721
Pakistan,30.3308401,71.247499
Yemen,16.3471243,47.8915271
Afghanistan,33.7680065,66.2385139
Burkina Faso,12.0753083,-1.6880314
CAR,40.5250362,-81.0927234
DRC,-17.9819241,20.7680607
Israel,39.3181528,-79.8109014
Libya,26.8234472,18.1236723
Mali,16.3700359,-2.2900239
Sudan,10.9,6.5
Syria,35.8323648,38.5414697
Yemen,16.3471243,47.8915271
Afghanistan,33.7680065,66.2385139
Burkina Faso,12.0753083,-1.6880314
DRC,-17.9819241,20.7680607
Libya,26.8234472,18.1236723
Pakistan,30.3308401,71.247499
Somalia,8.3676771,49.083416
Afghanistan,33.7680065,66.2385139
Burkina Faso,12.0753083,-1.6880314
DRC,-17.9819241,20.7680607
Libya,26.8234472,18.1236723
Nigeria,9.6000359,7.9999721
Yemen,16.3471243,47.8915271
Afghanistan,33.7680065,66.2385139
DRC,-17.9819241,20.7680607
Libya,26.8234472,18.1236723
Mali,16.3700359,-2.2900239
Nigeria,9.6000359,7.9999721
Pakistan,30.3308401,71.247499
Syria,35.8323648,38.5414697
Yemen,16.3471243,47.8915271
Afghanistan,33.7680065,66.2385139
DRC,-17.9819241,20.7680607
Israel,39.3181528,-79.8109014
Libya,26.8234472,18.1236723
Mali,16.3700359,-2.2900239
Nigeria,9.6000359,7.9999721
Pakistan,30.3308401,71.247499
Syria,35.8323648,38.5414697
Yemen,16.3471243,47.8915271
Burkina Faso,12.0753083,-1.6880314
DRC,-17.9819241,20.7680607
Libya,26.8234472,18.1236723
Mali,16.3700359,-2.2900239
Nigeria,9.6000359,7.9999721
Syria,35.8323648,38.5414697
Yemen,16.3471243,47.8915271
Afghanistan,33.7680065,66.2385139
DRC,-17.9819241,20.7680607
Libya,26.8234472,18.1236723
Mali,16.3700359,-2.2900239
Somalia,8.3676771,49.083416
Syria,35.8323648,38.5414697
Yemen,16.3471243,47.8915271
Burkina Faso,12.0753083,-1.6880314
DRC,-17.9819241,20.7680607
Libya,26.8234472,18.1236723
Somalia,8.3676771,49.083416
Syria,35.8323648,38.5414697
Afghanistan,33.7680065,66.2385139
DRC,-17.9819241,20.7680607
Libya,26.8234472,18.1236723
South Sudan,7.8699431,29.6667897
Syria,35.8323648,38.5414697
Yemen,16.3471243,47.8915271
Afghanistan,33.7680065,66.2385139
DRC,-17.9819241,20.7680607
Egypt,35.8681298,-90.9456751
Libya,26.8234472,18.1236723
Mali,16.3700359,-2.2900239
Somalia,8.3676771,49.083416
Sudan,10.9,6.5
Syria,35.8323648,38.5414697
Afghanistan,33.7680065,66.2385139
DRC,-17.9819241,20.7680607
Libya,26.8234472,18.1236723
Syria,35.8323648,38.5414697
Afghanistan,33.7680065,66.2385139
DRC,-17.9819241,20.7680607
Nigeria,9.6000359,7.9999721
Syria,35.8323648,38.5414697
Yemen,16.3471243,47.8915271
Afghanistan,33.7680065,66.2385139
Burkina Faso,12.0753083,-1.6880314
DRC,-17.9819241,20.7680607
Libya,26.8234472,18.1236723
Syria,35.8323648,38.5414697
Afghanistan,33.7680065,66.2385139
CAR,40.5250362,-81.0927234
DRC,-17.9819241,20.7680607
Libya,26.8234472,18.1236723
Syria,35.8323648,38.5414697
Ukraine,49.4871968,31.2718321
Afghanistan,33.7680065,66.2385139
Burkina Faso,12.0753083,-1.6880314
DRC,-17.9819241,20.7680607
Pakistan,30.3308401,71.247499
Syria,35.8323648,38.5414697
Burkina Faso,12.0753083,-1.6880314
Cameroon,4.6125522,13.1535811
DRC,-17.9819241,20.7680607
Libya,26.8234472,18.1236723
Nigeria,9.6000359,7.9999721
Pakistan,30.3308401,71.247499
Syria,35.8323648,38.5414697
Yemen,16.3471243,47.8915271
Burkina Faso,12.0753083,-1.6880314
DRC,-17.9819241,20.7680607
Libya,26.8234472,18.1236723
Nigeria,9.6000359,7.9999721
Pakistan,30.3308401,71.247499
Syria,35.8323648,38.5414697
DRC,-17.9819241,20.7680607
Israel,39.3181528,-79.8109014
Libya,26.8234472,18.1236723
Mali,16.3700359,-2.2900239
Syria,35.8323648,38.5414697
Afghanistan,33.7680065,66.2385139
DRC,-17.9819241,20.7680607
Israel,39.3181528,-79.8109014
Mali,16.3700359,-2.2900239
Syria,35.8323648,38.5414697
DRC,-17.9819241,20.7680607
Israel,39.3181528,-79.8109014
Libya,26.8234472,18.1236723
Mali,16.3700359,-2.2900239
Myanmar (Burma),17.1750495,95.9999652
Syria,35.8323648,38.5414697
DRC,-17.9819241,20.7680607
Libya,26.8234472,18.1236723
Nigeria,9.6000359,7.9999721
Syria,35.8323648,38.5414697
Yemen,16.3471243,47.8915271
DRC,-17.9819241,20.7680607
Libya,26.8234472,18.1236723
Mali,16.3700359,-2.2900239
Nigeria,9.6000359,7.9999721
Syria,35.8323648,38.5414697
Afghanistan,33.7680065,66.2385139
DRC,-17.9819241,20.7680607
Libya,26.8234472,18.1236723
Mali,16.3700359,-2.2900239
Pakistan,30.3308401,71.247499
Syria,35.8323648,38.5414697
Afghanistan,33.7680065,66.2385139
DRC,-17.9819241,20.7680607
Libya,26.8234472,18.1236723
Pakistan,30.3308401,71.247499
Syria,35.8323648,38.5414697
Afghanistan,33.7680065,66.2385139
DRC,-17.9819241,20.7680607
Yemen,16.3471243,47.8915271
Afghanistan,33.7680065,66.2385139
DRC,-17.9819241,20.7680607
Nigeria,9.6000359,7.9999721
Syria,35.8323648,38.5414697
Afghanistan,33.7680065,66.2385139
DRC,-17.9819241,20.7680607
Libya,26.8234472,18.1236723
Syria,35.8323648,38.5414697
Afghanistan,33.7680065,66.2385139
DRC,-17.9819241,20.7680607
Libya,26.8234472,18.1236723
Mali,16.3700359,-2.2900239
Syria,35.8323648,38.5414697
DRC,-17.9819241,20.7680607
Syria,35.8323648,38.5414697
Yemen,16.3471243,47.8915271
Burkina Faso,12.0753083,-1.6880314
CAR,40.5250362,-81.0927234
DRC,-17.9819241,20.7680607
Libya,26.8234472,18.1236723
South Sudan,7.8699431,29.6667897
Syria,35.8323648,38.5414697
Cameroon,4.6125522,13.1535811
DRC,-17.9819241,20.7680607
Iraq,33.0955793,44.1749775
Israel,39.3181528,-79.8109014
Syria,35.8323648,38.5414697
Burkina Faso,12.0753083,-1.6880314
DRC,-17.9819241,20.7680607
Iraq,33.0955793,44.1749775
Pakistan,30.3308401,71.247499
Sudan,10.9,6.5
Syria,35.8323648,38.5414697
Yemen,16.3471243,47.8915271
DRC,-17.9819241,20.7680607
Israel,39.3181528,-79.8109014
Libya,26.8234472,18.1236723
Nigeria,9.6000359,7.9999721
Somalia,8.3676771,49.083416
Syria,35.8323648,38.5414697
Yemen,16.3471243,47.8915271
CAR,40.5250362,-81.0927234
DRC,-17.9819241,20.7680607
Syria,35.8323648,38.5414697
Burkina Faso,12.0753083,-1.6880314
DRC,-17.9819241,20.7680607
Nigeria,9.6000359,7.9999721
Sudan,10.9,6.5
Syria,35.8323648,38.5414697
Afghanistan,33.7680065,66.2385139
DRC,-17.9819241,20.7680607
Iraq,33.0955793,44.1749775
Syria,35.8323648,38.5414697
Afghanistan,33.7680065,66.2385139
DRC,-17.9819241,20.7680607
Nigeria,9.6000359,7.9999721
Pakistan,30.3308401,71.247499
Syria,35.8323648,38.5414697
Yemen,16.3471243,47.8915271
Pakistan,30.3308401,71.247499
